NAME,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/12/2010,0,0,56,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/13/2010,0,0,59,29
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/14/2010,0,0,66,29
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/15/2010,0,0,58,34
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/16/2010,0,0,55,27
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/17/2010,0,0,59,30
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/18/2010,0,0,58,25
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/19/2010,0,0,61,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/20/2010,0,0,61,27
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/21/2010,0,0,64,29
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/22/2010,0,0,61,31
